Continent,Name,Date,1st Place,2nd Place,3rd Place,Motorsport,Rating
Asia,Pre-Season Testing 2025,"February 26, 2025 → February 28, 2025",,,,Formula 1,
Australia,Australian Grand Prix,"March 14, 2025 → March 16, 2025",,,,Formula 1,
Asia,Chinese Grand Prix,"March 21, 2025 → March 23, 2025",,,,Formula 1,
Asia,Japanese Grand Prix,"April 4, 2025 → April 6, 2025",,,,Formula 1,
Asia,Bahrain Grand Prix,"April 11, 2025 → April 13, 2025",,,,Formula 1,
Asia,Saudi Arabian Grand Prix,"April 18, 2025 → April 20, 2025",,,,Formula 1,
North & South America,Miami Grand Prix,"May 2, 2025 → May 4, 2025",,,,Formula 1,
Europe,Gran Premio dell’Emilia-Romagna,"May 16, 2025 → May 18, 2025",,,,Formula 1,
Europe,Grand Prix de Monaco,"May 23, 2025 → May 25, 2025",,,,Formula 1,
Europe,Gran Premio de España,"May 30, 2025 → June 1, 2025",,,,Formula 1,
North & South America,Grand Prix du Canada,"June 13, 2025 → June 15, 2025",,,,Formula 1,
Europe,Austrian Grand Prix,"June 27, 2025 → June 29, 2025",,,,Formula 1,
Europe,British Grand Prix,"July 4, 2025 → July 6, 2025",,,,Formula 1,
Europe,Belgian Grand Prix,"July 25, 2025 → July 27, 2025",,,,Formula 1,
Europe,Hungarian Grand Prix,"August 1, 2025 → August 3, 2025",,,,Formula 1,
Europe,Dutch Grand Prix,"August 29, 2025 → August 31, 2025",,,,Formula 1,
Europe,Gran Premio D’Italia,"September 5, 2025 → September 7, 2025",,,,Formula 1,
Asia,Azerbaijan Grand Prix,"September 19, 2025 → September 21, 2025",,,,Formula 1,
Asia,Singapore Grand Prix,"October 3, 2025 → October 5, 2025",,,,Formula 1,
North & South America,United States Grand Prix,"October 17, 2025 → October 19, 2025",,,,Formula 1,
North & South America,Gran Premio de la Ciudad de México,"October 24, 2025 → October 26, 2025",,,,Formula 1,
North & South America,Grande Prêmio de São Paulo,"November 7, 2025 → November 9, 2025",,,,Formula 1,
North & South America,Las Vegas Grand Prix,"November 20, 2025 → November 22, 2025",,,,Formula 1,
Asia,Qatar Grand Prix,"November 28, 2025 → November 30, 2025",,,,Formula 1,
Asia,Abu Dhabi Grand Prix,"December 5, 2025 → December 7, 2025",,,,Formula 1,